time,open,high,low,close,volume,ticker
2023-08-25,6400,6520,6320,6380,1622000,EVG
2023-08-25,6400,6400,6400,6400,200,PCG
2023-08-25,6400,6400,6000,6000,6800,TL4
2023-08-25,12800,13400,12650,13400,3694300,IDI
2023-08-25,32000,32000,31500,31500,3500,TSB
2023-08-25,32000,32000,32000,32000,900,GDW
2023-08-25,102400,102400,101000,101400,539600,GAS
2023-08-25,38400,38400,37100,37900,3000,TMB
2023-08-25,51200,51300,50800,51300,18300,DBD
2023-08-25,64000,64200,63500,64099,2700,DRL
2023-08-25,64000,64000,63000,64000,25600,FOX
2023-08-25,8450,8530,8310,8390,3777300,SCR
2023-08-25,4100,4100,3900,4000,658600,LMH
2023-08-25,4100,4100,4100,4100,100,SD7
2023-08-25,5380,5380,5210,5220,195100,LGL
2023-08-25,74500,79300,74100,79300,915300,CTR
2023-08-25,10500,10850,10500,10700,12200,DAT
2023-08-25,10500,11200,10500,10800,10000,PJT
2023-08-25,10500,10700,10500,10700,1800,CIA
2023-08-25,10500,10950,10350,10650,2128900,CMX
2023-08-25,10500,10600,10300,10400,323700,BVB
2023-08-25,16900,16900,16200,16550,22200,TVT
2023-08-25,16900,16900,16100,16300,22700,PSD
2023-08-25,23300,23400,23100,23100,8100,CHP
2023-08-25,23300,23300,23000,23000,2100,OPC
2023-08-25,29700,30450,29550,29900,5319200,HCM
2023-08-25,36100,36500,35200,35200,93000,CSC
2023-08-25,42500,43700,42500,43500,5900,BHN
2023-08-25,3590,3600,3520,3590,7700,HVX
2023-08-25,12550,12700,12450,12500,6763200,POW
2023-08-25,18950,19450,18650,19100,1216100,HTN
2023-08-25,31750,31750,31050,31150,8626800,CTG
2023-08-25,1800,1900,1700,1800,104600,SSN
2023-08-25,1800,1800,1800,1800,100,RCD
2023-08-25,21000,21300,20650,20700,192200,NBB
2023-08-25,21000,22700,21000,22700,21500,VSN
2023-08-25,21000,21000,21000,21000,200,ISH
2023-08-25,27400,27400,23800,27400,1200,BDW
2023-08-25,8970,9180,8940,8950,1062800,APH
2023-08-25,29450,29700,29250,29600,4000,PAC
2023-08-25,35850,35850,34850,34850,3100,ABT
2023-08-25,69900,71000,69800,70600,19300,DMC
2023-08-25,5900,6100,5800,5900,79600,GPC
2023-08-25,5900,5900,5900,5900,100,E29
2023-08-25,5900,5900,5700,5700,731400,AAV
2023-08-25,12300,12650,12150,12550,414500,HVN
2023-08-25,14860,14860,14720,14730,13900,FUESSV30
2023-08-25,18700,18850,18600,18850,3737000,TPB
2023-08-25,18700,18800,18550,18700,499400,CDC
2023-08-25,25100,25100,25100,25100,200,HNF
